Team,Elo
Arizona Diamondbacks,1537.7585910552102
Atlanta Braves,1537.1004233823219
Baltimore Orioles,1522.5143917660562
Boston Red Sox,1494.8328961451487
Chicago Cubs,1506.317749258676
Chicago White Sox,1358.7820366176013
Cincinnati Reds,1481.1314217325275
Cleveland Guardians,1513.2757513846836
Colorado Rockies,1427.200899428686
Detroit Tigers,1519.0055893492738
Houston Astros,1538.011509197342
Kansas City Royals,1485.9984966486657
Los Angeles Angels,1421.9954978119417
Los Angeles Dodgers,1598.0061911903624
Miami Marlins,1452.0452338746136
Milwaukee Brewers,1535.6699707779208
Minnesota Twins,1488.8243544325203
New York Mets,1541.997492611217
New York Yankees,1545.8291840062527
Oakland Athletics,1438.3767816740547
Philadelphia Phillies,1540.9834978028414
Pittsburgh Pirates,1472.0958132466922
San Diego Padres,1556.9317134419393
San Francisco Giants,1496.91205532877
Seattle Mariners,1521.9191486488392
St. Louis Cardinals,1503.317611275282
Tampa Bay Rays,1517.712074548022
Texas Rangers,1505.462268442772
Toronto Blue Jays,1487.428331773786
Washington Nationals,1452.5630231459802
